mean_fit_time	std_fit_time	mean_score_time	std_score_time	param_step_size	param_prop_sparsity	param_norm	param_max_cosamp_iter	param_lamb	param_function_budget	param_delta	param_cosamp_tol	params	split0_test_score	mean_test_score	std_test_score	rank_test_score
203.56894397735596	0.0	0.004695415496826172	0.0	10.0	0.1	2	25	0.1	10000.0	1e-05	0.5	{'step_size': 10.0, 'prop_sparsity': 0.1, 'norm': 2, 'max_cosamp_iter': 25, 'lamb': 0.1, 'function_budget': 10000.0, 'delta': 1e-05, 'cosamp_tol': 0.5}	1.784276957747656e+39	1.784276957747656e+39	0.0	23
288.0603349208832	0.0	0.0012111663818359375	0.0	100.0	0.15	2	15	0.1	10000.0	0.001	0.5	{'step_size': 100.0, 'prop_sparsity': 0.15, 'norm': 2, 'max_cosamp_iter': 15, 'lamb': 0.1, 'function_budget': 10000.0, 'delta': 0.001, 'cosamp_tol': 0.5}	5.561670396975654e+39	5.561670396975654e+39	0.0	22
309.53178906440735	0.0	5.030632019042969e-05	0.0	100.0	0.1	2	5	0.1	10000.0	0.001	0.5	{'step_size': 100.0, 'prop_sparsity': 0.1, 'norm': 2, 'max_cosamp_iter': 5, 'lamb': 0.1, 'function_budget': 10000.0, 'delta': 0.001, 'cosamp_tol': 0.5}	6.852053848673974e+40	6.852053848673974e+40	0.0	21
191.68598341941833	0.0	3.2901763916015625e-05	0.0	10.0	0.1	2	15	0.1	10000.0	0.001	0.5	{'step_size': 10.0, 'prop_sparsity': 0.1, 'norm': 2, 'max_cosamp_iter': 15, 'lamb': 0.1, 'function_budget': 10000.0, 'delta': 0.001, 'cosamp_tol': 0.5}	1.7221734492217605e+41	1.7221734492217605e+41	0.0	20
164.0539574623108	0.0	5.817413330078125e-05	0.0	10.0	0.2	2	5	0.1	10000.0	0.001	0.5	{'step_size': 10.0, 'prop_sparsity': 0.2, 'norm': 2, 'max_cosamp_iter': 5, 'lamb': 0.1, 'function_budget': 10000.0, 'delta': 0.001, 'cosamp_tol': 0.5}	1.1572948690091455e+42	1.1572948690091455e+42	0.0	19
334.92219591140747	0.0	3.2901763916015625e-05	0.0	100.0	0.1	2	20	0.1	10000.0	0.001	0.5	{'step_size': 100.0, 'prop_sparsity': 0.1, 'norm': 2, 'max_cosamp_iter': 20, 'lamb': 0.1, 'function_budget': 10000.0, 'delta': 0.001, 'cosamp_tol': 0.5}	4.8931430122363757e+42	4.8931430122363757e+42	0.0	18
228.8694519996643	0.0	0.0035724639892578125	0.0	100.0	0.15	2	25	0.1	10000.0	0.001	0.5	{'step_size': 100.0, 'prop_sparsity': 0.15, 'norm': 2, 'max_cosamp_iter': 25, 'lamb': 0.1, 'function_budget': 10000.0, 'delta': 0.001, 'cosamp_tol': 0.5}	7.49985685868992e+43	7.49985685868992e+43	0.0	17
206.89213967323303	0.0	6.508827209472656e-05	0.0	10.0	0.15	2	20	0.1	10000.0	1e-05	0.5	{'step_size': 10.0, 'prop_sparsity': 0.15, 'norm': 2, 'max_cosamp_iter': 20, 'lamb': 0.1, 'function_budget': 10000.0, 'delta': 1e-05, 'cosamp_tol': 0.5}	2.1197721937313932e+44	2.1197721937313932e+44	0.0	16
267.8317217826843	0.0	0.0038847923278808594	0.0	100.0	0.15	2	25	0.1	10000.0	1e-05	0.5	{'step_size': 100.0, 'prop_sparsity': 0.15, 'norm': 2, 'max_cosamp_iter': 25, 'lamb': 0.1, 'function_budget': 10000.0, 'delta': 1e-05, 'cosamp_tol': 0.5}	1.5468340636942614e+45	1.5468340636942614e+45	0.0	15
218.68881821632385	0.0	3.814697265625e-05	0.0	10.0	0.15	2	10	0.1	10000.0	0.001	0.5	{'step_size': 10.0, 'prop_sparsity': 0.15, 'norm': 2, 'max_cosamp_iter': 10, 'lamb': 0.1, 'function_budget': 10000.0, 'delta': 0.001, 'cosamp_tol': 0.5}	1.9347902203220114e+45	1.9347902203220114e+45	0.0	14
